iter	Logloss
0	0.6925353394
1	0.691489502
2	0.6901587524
3	0.6889231567
4	0.6879748535
5	0.6870275269
6	0.6855059814
7	0.6839825439
8	0.6829193115
9	0.681246582
10	0.6803809204
11	0.6789603882
12	0.6777078857
13	0.6764456177
14	0.6763125
15	0.6753688965
16	0.6746735229
17	0.6734453735
18	0.6723414917
19	0.6712261963
20	0.6706843872
21	0.6693781128
22	0.6684969482
23	0.6674470215
24	0.6661695557
25	0.6654909668
26	0.6650632324
27	0.6644772949
28	0.6636164551
29	0.6625030518
30	0.6613660889
31	0.660534668
32	0.6597108765
33	0.6588305054
34	0.6576647949
35	0.6566324463
36	0.6558706665
37	0.654309082
38	0.653088623
39	0.6523155518
40	0.6516834717
41	0.650993042
42	0.650008667
43	0.6487623291
44	0.6477892456
45	0.6469417725
46	0.6459394531
47	0.6451091919
48	0.6441665039
49	0.6432701416
50	0.64228302
51	0.641434082
52	0.6406785278
53	0.6402288818
54	0.6394729614
55	0.6391903076
56	0.6383916016
57	0.6373214111
58	0.6369749756
59	0.6358974609
60	0.6346505127
61	0.6340125732
62	0.6332724609
63	0.6318881836
64	0.6313814087
65	0.6307657471
66	0.6298342285
67	0.629
68	0.6281078491
69	0.6272530518
70	0.6266204834
71	0.6262416992
72	0.6258189697
73	0.6251139526
74	0.6248082275
75	0.6242783203
76	0.6235395508
77	0.6225776367
78	0.6221514893
79	0.6213338623
80	0.6202493286
81	0.6190550537
82	0.6187264404
83	0.6178581543
84	0.6174882812
85	0.6168346558
86	0.6161378174
87	0.615371521
88	0.6146848755
89	0.6138078613
90	0.6130932617
91	0.6125803833
92	0.6119960937
93	0.6110164795
94	0.6105008545
95	0.6099228516
96	0.609239563
97	0.6085244141
98	0.6078968506
99	0.6072547607
